doi,doi_url,journal,status,article_title,year,cited_by
10.1016/j.apsusc.2017.06.016,https://doi.org/10.1016/j.apsusc.2017.06.016,Appl. Surf. Sci.,not_oa,A pressure tuned stop-flow atomic layer deposition process for MoS2 on high porous nanostructure and fabrication of TiO2/MoS2 core/shell inverse opal structure,2017,cremers2019
10.1016/j.apsusc.2018.05.017,https://doi.org/10.1016/j.apsusc.2018.05.017,Appl. Surf. Sci.,not_oa,,2018,popov2025
10.1016/j.apsusc.2018.07.153,https://doi.org/10.1016/j.apsusc.2018.07.153,Appl. Surf. Sci.,not_oa,,2018,popov2025
10.1016/j.apsusc.2019.03.071,https://doi.org/10.1016/j.apsusc.2019.03.071,Appl. Surf. Sci.,not_oa,,2019,popov2025
10.1016/j.apsusc.2019.04.262,https://doi.org/10.1016/j.apsusc.2019.04.262,Appl. Surf. Sci.,not_oa,,2019,popov2025
10.1016/j.apsusc.2019.05.242,https://doi.org/10.1016/j.apsusc.2019.05.242,Appl. Surf. Sci.,not_oa,,2019,popov2025
10.1016/j.apsusc.2019.144804,https://doi.org/10.1016/j.apsusc.2019.144804,Appl. Surf. Sci.,not_oa,,2020,popov2025
10.1016/j.apsusc.2020.148758,https://doi.org/10.1016/j.apsusc.2020.148758,Appl. Surf. Sci.,not_oa,,2021,popov2025
10.1016/j.apsusc.2021.150152,https://doi.org/10.1016/j.apsusc.2021.150152,Appl. Surf. Sci.,oa_no_pdf_url,,2021,popov2025
10.1016/j.apsusc.2021.150373,https://doi.org/10.1016/j.apsusc.2021.150373,Appl. Surf. Sci.,oa_no_pdf_url,,2021,popov2025
10.1016/j.apsusc.2021.150603,https://doi.org/10.1016/j.apsusc.2021.150603,Appl. Surf. Sci.,not_oa,,2021,popov2025
10.1016/j.apsusc.2021.152062,https://doi.org/10.1016/j.apsusc.2021.152062,Appl. Surf. Sci.,oa_no_pdf_url,,2022,popov2025
10.1016/j.apsusc.2023.156517,https://doi.org/10.1016/j.apsusc.2023.156517,Appl. Surf. Sci.,not_oa,,2023,popov2025
10.1016/j.apsusc.2023.156834,https://doi.org/10.1016/j.apsusc.2023.156834,Appl. Surf. Sci.,not_oa,,2023,popov2025
10.1016/s0169-4332(00)00007-6,https://doi.org/10.1016/s0169-4332(00)00007-6,Appl. Surf. Sci.,not_oa,Recombination of neutral oxygen atoms on stainless steel surface,2000,cremers2019
10.1088/1758-5090/aab981,https://doi.org/10.1088/1758-5090/aab981,Biofabrication,oa_no_pdf_url,,2018,popov2025
10.1002/bkcs.10400,https://doi.org/10.1002/bkcs.10400,Bull. Korean Chem. Soc.,not_oa,,2015,popov2025
10.1002/bkcs.11153,https://doi.org/10.1002/bkcs.11153,Bull. Korean Chem. Soc.,not_oa,,2017,popov2025
10.1016/j.cattod.2003.11.022,https://doi.org/10.1016/j.cattod.2003.11.022,Catal. Today,not_oa,Recombination of oxygen atomic excited states produced by non-equilibrium RF plasma on different semiconductor materials: Catalytic phenomena and modelling,2004,cremers2019
10.1016/j.ceramint.2015.05.015,https://doi.org/10.1016/j.ceramint.2015.05.015,Ceram. Int.,not_oa,,2015,popov2025
10.1016/j.ceramint.2015.12.109,https://doi.org/10.1016/j.ceramint.2015.12.109,Ceram. Int.,not_oa,,2016,popov2025
10.1016/j.ceramint.2016.10.186,https://doi.org/10.1016/j.ceramint.2016.10.186,Ceram. Int.,not_oa,,2017,popov2025
10.1016/j.ceramint.2017.03.087,https://doi.org/10.1016/j.ceramint.2017.03.087,Ceram. Int.,not_oa,,2017,popov2025
10.1016/j.ceramint.2018.09.263,https://doi.org/10.1016/j.ceramint.2018.09.263,Ceram. Int.,not_oa,,2019,popov2025
10.1016/j.ceramint.2019.10.018,https://doi.org/10.1016/j.ceramint.2019.10.018,Ceram. Int.,not_oa,,2020,popov2025
10.1016/j.ceramint.2019.10.254,https://doi.org/10.1016/j.ceramint.2019.10.254,Ceram. Int.,not_oa,,2020,popov2025
10.1016/j.ceramint.2022.10.047,https://doi.org/10.1016/j.ceramint.2022.10.047,Ceram. Int.,not_oa,,2023,popov2025
10.1039/c6cc05568k,https://doi.org/10.1039/c6cc05568k,Chem. Commun.,not_oa,Atomic and molecular layer deposition: Off the beaten track,2017,cremers2019
10.1039/c8cc04998j,https://doi.org/10.1039/c8cc04998j,Chem. Commun.,not_oa,,2018,popov2025
10.1039/c8cc10175b,https://doi.org/10.1039/c8cc10175b,Chem. Commun.,not_oa,,2019,popov2025
10.1016/j.cej.2022.136123,https://doi.org/10.1016/j.cej.2022.136123,Chem. Eng. J.,not_oa,,2022,popov2025
10.1002/chem.201702939,https://doi.org/10.1002/chem.201702939,Chem. Eur. J.,not_oa,,2017,popov2025
10.1002/chem.201802317,https://doi.org/10.1002/chem.201802317,Chem. Eur. J.,oa_no_pdf_url,,2018,popov2025
10.1002/chem.202005268,https://doi.org/10.1002/chem.202005268,Chem. Eur. J.,http_error,,2021,popov2025
10.1002/chem.202101126,https://doi.org/10.1002/chem.202101126,Chem. Eur. J.,http_error,,2021,popov2025
10.1021/acs.chemmater.0c01887,https://doi.org/10.1021/acs.chemmater.0c01887,Chem. Mater.,oa_no_pdf_url,,2020,popov2025
10.1021/acs.chemmater.0c02306,https://doi.org/10.1021/acs.chemmater.0c02306,Chem. Mater.,not_oa,,2020,popov2025
10.1021/acs.chemmater.0c02505,https://doi.org/10.1021/acs.chemmater.0c02505,Chem. Mater.,not_oa,,2020,popov2025
10.1021/acs.chemmater.0c03928,https://doi.org/10.1021/acs.chemmater.0c03928,Chem. Mater.,not_oa,,2021,popov2025
10.1021/acs.chemmater.0c04496,https://doi.org/10.1021/acs.chemmater.0c04496,Chem. Mater.,not_oa,,2021,popov2025
10.1021/acs.chemmater.1c00877,https://doi.org/10.1021/acs.chemmater.1c00877,Chem. Mater.,not_oa,,2021,popov2025
10.1021/acs.chemmater.1c01054,https://doi.org/10.1021/acs.chemmater.1c01054,Chem. Mater.,not_oa,,2021,popov2025
10.1021/acs.chemmater.1c02982,https://doi.org/10.1021/acs.chemmater.1c02982,Chem. Mater.,not_oa,,2021,popov2025
10.1021/acs.chemmater.1c03093,https://doi.org/10.1021/acs.chemmater.1c03093,Chem. Mater.,oa_no_pdf_url,,2022,popov2025
10.1021/acs.chemmater.1c03142,https://doi.org/10.1021/acs.chemmater.1c03142,Chem. Mater.,not_oa,,2022,popov2025
10.1021/acs.chemmater.1c03394,https://doi.org/10.1021/acs.chemmater.1c03394,Chem. Mater.,not_oa,,2021,popov2025
10.1021/acs.chemmater.1c04411,https://doi.org/10.1021/acs.chemmater.1c04411,Chem. Mater.,not_oa,,2022,popov2025
10.1021/acs.chemmater.2c00753,https://doi.org/10.1021/acs.chemmater.2c00753,Chem. Mater.,not_oa,,2022,popov2025
10.1021/acs.chemmater.2c00907,https://doi.org/10.1021/acs.chemmater.2c00907,Chem. Mater.,oa_no_pdf_url,,2022,popov2025
10.1021/acs.chemmater.2c00954,https://doi.org/10.1021/acs.chemmater.2c00954,Chem. Mater.,not_oa,,2022,popov2025
10.1021/acs.chemmater.2c01202,https://doi.org/10.1021/acs.chemmater.2c01202,Chem. Mater.,oa_no_pdf_url,,2022,popov2025
10.1021/acs.chemmater.2c02341,https://doi.org/10.1021/acs.chemmater.2c02341,Chem. Mater.,not_oa,,2022,popov2025
